epoch,train_acc,train_loss,train_psnr,test_acc,test_loss,test_psnr,epoch_time,est_total
0,0.33938219312511747,0.0548340205598594,13.243918862794061,0.44966376582278483,0.029243757783234875,15.344029957735085,26.22372031211853,1284.962295293808
1,0.5220388427109974,0.025419342110071647,15.962666896907875,0.5311511075949367,0.02287465451827532,16.410968237285374,26.02230215072632,1253.9045391082764
2,0.5758711637743293,0.022193058191434197,16.5423256027729,0.5542919303797469,0.022101366397323487,16.560208018822006,25.53538489341736,1218.5909428596497
3,0.5914921675191815,0.021410036574849082,16.698233780043815,0.5645767405063291,0.021167906284143653,16.747711229927933,25.184402227401733,1184.1182326078415
4,0.5961636829254268,0.021017346335836993,16.778526023220834,0.5694224683544303,0.020959262889397295,16.79076757310312,25.416174173355103,1155.4557838439941
5,0.5996203645111045,0.020764027152905987,16.831280705873922,0.5720925632911392,0.020678267165829864,16.849515287181998,25.591339111328125,1129.1523106892905
6,0.603852301759793,0.020526627350188887,16.88181795671468,0.5738726265822784,0.0206485411883155,16.855723368970654,25.027021884918213,1099.5919340338025
7,0.6056985294117647,0.020350153855693616,16.918324770524983,0.5789161392405063,0.020358618466725834,16.91716645639154,25.345385551452637,1072.8360525369644
8,0.6102901215443526,0.0201649169397095,16.958270124157373,0.5869264240506329,0.020248286190289486,16.940715958800496,25.00919198989868,1044.8572852876453
9,0.6137228260564682,0.02003114763409128,16.98713829938103,0.5834651898734177,0.02010542760261252,16.97153697436369,24.984833478927612,1017.3789739608765
10,0.6148097826086957,0.019910545400379565,17.01351526753067,0.5912776898734177,0.019984119347756422,16.997831175598918,24.988692045211792,990.3639987165278
11,0.6172794117342175,0.019790569725243942,17.039624850768263,0.5830696202531646,0.020059430547341515,16.981423148626014,25.186807870864868,964.3141041199366
12,0.617814897728698,0.01969766504872028,17.060552758024173,0.5856408227848101,0.019878553085123436,17.020777207386644,25.189499139785767,938.4046518619243
13,0.6218670077640992,0.019624493439750902,17.07654968125131,0.5934533227848101,0.019904862405567228,17.015044828004473,25.0020534992218,912.1186188289098
14,0.6228540600718134,0.01953650437905203,17.096220279898485,0.5891020569620253,0.019846203017838394,17.02796429018431,25.181544065475464,886.4201273123423
15,0.6264386189258312,0.0194924877970801,17.106471854402585,0.5946400316455697,0.019868727254716657,17.02304733855815,25.58288860321045,861.6412346959114
16,0.6273937021070124,0.01941836078453552,17.122080410228055,0.5909810126582279,0.019837846437209768,17.029696259317518,25.771749258041382,837.1323089739856
17,0.6272538363781122,0.019362517082325333,17.13455718252665,0.5952333860759493,0.019815810166205032,17.03457578828063,24.819690942764282,810.7905214097765
18,0.6279851343015881,0.019300516890099897,17.149174517072986,0.5978045886075949,0.01972364815824394,17.054862638063067,24.998805284500122,784.9011937317096
19,0.6302149936061381,0.019252958004851172,17.159456423786292,0.596123417721519,0.01971461025031307,17.05678048918519,24.769399881362915,758.75832259655
20,0.631134111253197,0.01920696190746544,17.17018566960874,0.599189082278481,0.01963006214627737,17.075443122960344,24.980167865753174,733.0372105893634
21,0.631453804347826,0.01917189142435713,17.177499088180035,0.5959256329113924,0.019650201890853387,17.071136885051487,25.01413917541504,707.425986810164
22,0.6320851981792304,0.019119236294342125,17.189244706917297,0.6007713607594937,0.019577782648273662,17.087115348139896,25.180803060531616,682.0616821102474
23,0.6349224743940641,0.019082238392718612,17.198197840424754,0.6018591772151899,0.0195840191143223,17.085707145401194,26.012792110443115,657.6150692900022
24,0.6347506393861893,0.019044564227047173,17.20686013009542,0.5996835443037974,0.019624352973850467,17.07673171803921,25.16527771949768,632.1955738067627
25,0.6374360614115625,0.019011327358501036,17.214089727767593,0.5923655063291139,0.019575220497348642,17.087695568422728,25.80800771713257,607.3879214066725
26,0.6358815536779516,0.018975908770356948,17.22221362316395,0.6011669303797469,0.01958340948706941,17.085905775239198,25.21387505531311,582.0009019109938
27,0.6367407288697674,0.018939991431582308,17.23019801869112,0.6017602848101266,0.0195371759701756,17.09613541711735,25.562408447265625,556.9000235795975
28,0.6371962915905907,0.018901205538293286,17.239606432902537,0.6047270569620253,0.01959394986587989,17.083584556096717,25.414600133895874,531.6594970637354
29,0.6401214834369356,0.018884936266619225,17.243121476429504,0.6021558544303798,0.01953315180785294,17.097072577174707,25.396215200424194,506.39586067199707
30,0.6405610614420508,0.018850316443597265,17.250765359005356,0.5987935126582279,0.019653849775278117,17.070320225969144,25.570242643356323,481.22956901211893
31,0.6401654411764706,0.01883546953730266,17.25456246085789,0.6015625,0.019545721951164777,17.09422876865049,25.165698528289795,455.81047435104847
32,0.6410246163682864,0.018811043247085095,17.26051689596737,0.6033425632911392,0.01968694416971146,17.062940621677832,25.19335675239563,430.4209852074132
33,0.6420636189258312,0.018766801199301734,17.27053054458345,0.6000791139240507,0.0195457334335469,17.094294366957268,25.66501784324646,405.264991423663
34,0.6397458439897699,0.018755689935039375,17.272925506162522,0.6060126582278481,0.01956614651540412,17.089702799350402,25.35247278213501,379.9459626674652
35,0.640329283978933,0.018730792500402615,17.27865799125808,0.5996835443037974,0.019601702454346646,17.081836700439453,24.62486481666565,354.3425038920509
36,0.6431985294727414,0.018722034795471774,17.28067590269591,0.5958267405063291,0.019528015434176108,17.098229009893878,24.579569816589355,328.7756245716198
37,0.6425151853915065,0.018690671676488788,17.287872616897154,0.6059137658227848,0.01950999905791464,17.102226812628253,24.604872465133667,303.2690160399989
38,0.6433264067410813,0.018668895425355953,17.293644717282348,0.6003757911392406,0.0195012037654089,17.104173756852934,24.567885160446167,277.79788364508215
39,0.644653132961839,0.018660500764732472,17.29544283971762,0.6007713607594937,0.019547560476238214,17.093894813634172,24.786102294921875,252.4264678955078
40,0.6438019501278772,0.018640138489930222,17.299481833377456,0.6111550632911392,0.019523882766879056,17.099221024332167,24.415973663330078,227.002356273372
41,0.6435541879490513,0.018632177692240157,17.30166270360922,0.6081882911392406,0.01946883504809458,17.111524243898028,24.417965173721313,201.62663055601575
42,0.6458639706797002,0.018603337047350073,17.307901343421253,0.6084849683544303,0.019565733644781234,17.089869994151442,24.588624954223633,176.32323366542195
43,0.6452325766958544,0.01860169956789297,17.308622511451507,0.6043314873417721,0.01950268515774721,17.10397370253937,24.381179332733154,151.02403836900538
44,0.6468150576057337,0.01857063059440202,17.3162389301583,0.6097705696202531,0.019525315636132336,17.098837188527554,24.561564683914185,125.7857980993059
45,0.6440057545671682,0.01856720623324442,17.317139769454137,0.6060126582278481,0.019488409208723263,17.10714415055287,24.377999544143677,100.56088542938232
46,0.6458679667824064,0.01853553772144153,17.32423287218489,0.6071004746835443,0.019496150574163547,17.105387651467627,24.56107759475708,75.38369744889279
47,0.6465153453295188,0.018545480583177502,17.321818320037764,0.604628164556962,0.01948050683057761,17.108829691440246,24.411813735961914,50.22600276271502
48,0.6446571292169868,0.01853531830089019,17.324467568751185,0.607693829113924,0.019495952921577648,17.10533400426937,24.601237535476685,25.102577491682403
49,0.6480698529106882,0.018501484776130114,17.33215283249955,0.6077927215189873,0.019430257733675498,17.120006295699106,24.410151481628418,0.0
